,Episode,Title,Guests,Date,Length (minutes),Q&A
The Pen Addict 30,30,Inks On A Plane,,2012-11-20,34,
The Pen Addict 31,31,Holiday Gift Guide,,2012-11-27,36,
The Pen Addict 32,32,Truly Disappointed,,2012-12-04,33,
The Pen Addict 33,33,Field Notes Fascination,,2012-12-11,27,
The Pen Addict 34,34,I Like European Broads,,2012-12-18,54,
The Pen Addict 35,35,Scratched Off The List,,2012-12-27,48,
The Pen Addict 36,36,Would You Like To Try A Sample?,,2013-01-03,38,
The Pen Addict 37,37,Off The Deep End,,2013-01-08,50,
The Pen Addict 38,38,Playing The Role Of My Mother,,2013-01-15,52,
The Pen Addict 39,39,We Are The Normal Ones,,2013-01-24,46,
The Pen Addict 40,40,It Was Very Troubling To Me,,2013-01-29,37,
The Pen Addict 41,41,I Liken It To Unicorn Poop,,2013-02-06,39,
The Pen Addict 42,42,Short Attention Span Theatre,,2013-02-19,66,
The Pen Addict 43,43,Adding To Cart Now,Patrick Rhone,2013-02-26,54,
The Pen Addict 44,44,Pentervention,,2013-03-07,48,
The Pen Addict 45,45,Turning Japanese,,2013-03-11,55,
The Pen Addict 46,46,The Trifecta,,2013-03-19,36,
The Pen Addict 47,47,Dan Bishop from Karas Kustoms,Dan Bishop,2013-03-26,43,
The Pen Addict 48,48,"Ooh, You Said A Bad Word",,2013-04-02,48,
The Pen Addict 49,49,A Sailor Is At The Top Of My Wish List,,2013-04-09,62,
The Pen Addict 50,50,Investigative Pen Journalism,,2013-04-16,67,
The Pen Addict 51,51,The Things That People Love The Most Are Wrong,,2013-04-23,42,
The Pen Addict 52,52,It's A Gateway Pen So Be Careful,,2013-04-30,61,
The Pen Addict 53,53,AMA,,2013-05-07,73,?
The Pen Addict 54,54,The Chair Of The Desk,Ana Reinert,2013-05-14,50,
The Pen Addict 55,55,I'm Officially Jealous,,2013-05-21,52,
The Pen Addict 56,56,Them?s Fightin? Words,,2013-05-28,50,
The Pen Addict 57,57,There?s A Rectangular Hole,,2013-06-04,49,
The Pen Addict 58,58,Dont Tell The Other Listeners,,2013-06-11,42,
The Pen Addict 59,59,I?ve Never Been So Excited About A Black Staple,,2013-06-18,59,
The Pen Addict 60,60,You Are One Of Us,,2013-06-25,50,
The Pen Addict 61,61,Welcome To Dan Land,,2013-07-02,65,
The Pen Addict 62,62,Lefty Apologist,Ana Reinert,2013-07-08,64,
The Pen Addict 63,63,Electric Shock Treatment,,2013-07-16,42,
The Pen Addict 64,64,Johnny Anypen,,2013-07-23,68,
The Pen Addict 65,65,CSI Pen-Town,,2013-07-30,69,
The Pen Addict 66,66,Epically Trolled,,2013-08-06,45,
The Pen Addict 67,67,I?m A Fashion Maven,,2013-08-13,46,
The Pen Addict 68,68,It Is Tuesday And We Are Listening,,2013-08-20,50,
The Pen Addict 69,69,Give ?em Hell Bryan Bedell!,,2013-08-27,53,
The Pen Addict 70,70,Bullet Journal Time,Ryder Carroll,2013-09-03,60,
The Pen Addict 71,71,Sharpening Rainbows,Ana Reinert,2013-09-14,66,
The Pen Addict 72,72,It?s A Shame You Picked The Wrong Pen,,2013-09-17,61,
The Pen Addict 73,73,Polar Beer,,2013-09-26,58,
The Pen Addict 74,74,Why Can't You Do This,,2013-10-01,62,
The Pen Addict 75,75,Nerdiness In Its Purest Form,,2013-10-08,50,
The Pen Addict 76,76,It Has Two Nibs,,2013-10-15,56,
The Pen Addict 77,77,I'm A Lost Cause,,2013-10-24,61,
The Pen Addict 78,78,Roll Your Sleeves Up Dowdy,,2013-10-29,46,
The Pen Addict 79,79,Golden,,2013-11-05,51,
The Pen Addict 80,80,It's A Scandal,,2013-11-12,57,
The Pen Addict 81,81,You Stole My Wish List Item! - Gift Guide 2013,,2013-11-19,73,
The Pen Addict 82,82,Challenge Accepted,,2013-11-26,41,
The Pen Addict 83,83,"Something, Something Field Notes",,2013-12-05,56,
The Pen Addict 84,84,Pen Blogging With Ed Jelley,,2013-12-10,71,
The Pen Addict 85,85,Getting Ink With Dan Bishop,,2013-12-17,63,
The Pen Addict 86,86,We Have Bingo!,,2013-12-23,57,
The Pen Addict 87,87,Putting A Pen Out To Pasture,,2013-12-31,42,
The Pen Addict 88,88,Mollycoddling,,2014-01-08,65,
The Pen Addict 89,89,I'm The Best At The Worst,,2014-01-15,59,
The Pen Addict 90,90,The Perfect Pen For Now,,2014-01-21,52,
The Pen Addict 91,91,Are They Even Pen Addicts?,,2014-01-29,50,
The Pen Addict 92,92,Awinkening,,2014-02-07,51,
The Pen Addict 93,93,Never Say Never,,2014-02-12,65,?
The Pen Addict 94,94,The Pen Ambassador,,2014-02-19,49,
The Pen Addict 95,95,Fabber Castle,,2014-02-26,47,
The Pen Addict 96,96,I?m Attached To Pencils,,2014-03-05,66,
The Pen Addict 97,97,I Don't Want My Pens To Touch!,,2014-03-11,55,
The Pen Addict 98,98,Space Credits,,2014-03-19,64,
The Pen Addict 99,99,To The Tippy-Top,,2014-03-25,48,
The Pen Addict 100,100,Episode 100,,2014-04-02,67,
The Pen Addict 101,101,Lots of Brad's Face,,2014-04-08,45,
The Pen Addict 102,102,Shopping Brad and Business Brad,,2014-04-17,54,
The Pen Addict 103,103,Twitter Q&A,,2014-04-22,65,?
The Pen Addict 104,104,Hate That Dude,,2014-05-01,61,
The Pen Addict 105,105,The Kimono Is My Roll-Stopper,,2014-05-08,61,
The Pen Addict 106,106,Knolling,,2014-05-13,42,
The Pen Addict 107,107,Getting Crunk With Myke,,2014-05-19,47,
The Pen Addict 108,108,The Worst Pen Review Of All Time,Tim Fletcher,2014-05-29,49,
The Pen Addict 109,109,I Have Colors!,Ana Reinert,2014-06-04,82,
The Pen Addict 110,110,Gauntlet Down,,2014-06-12,68,
The Pen Addict 111,111,A Podcast Divided,Josh Ginger,2014-06-17,68,
The Pen Addict 112,112,Take Out The Trash,,2014-06-23,51,
The Pen Addict 113,113,The Pen Whisperer,,2014-07-01,64,?
The Pen Addict 114,114,Butchering The Orange,,2014-07-08,51,
The Pen Addict 115,115,The Panic Addict,,2014-07-15,57,
The Pen Addict 116,116,Scribbled Out,,2014-08-18,86,
The Pen Addict 117,117,We're a Perfect Pairing,,2014-08-29,51,
The Pen Addict 118,118,CGI Hand,,2014-09-02,56,
The Pen Addict 119,119,Stash Acquisition Beyond Life Expectancy,J. Robert Lennon,2014-09-08,69,
The Pen Addict 120,120,Behind The Nib,,2014-09-15,63,
The Pen Addict 121,121,Strange Ordering Processes,Patrick Rhone,2014-09-22,77,
The Pen Addict 122,122,It Physically Hurts My Head,,2014-09-29,67,
The Pen Addict 123,123,He'll Always Be Huckleberry to Me,Scott Fuller,2014-10-06,58,
The Pen Addict 124,124,I Do Speak Fluent German,Ryder Carroll,2014-10-13,53,
The Pen Addict 125,125,Made by a Guy Named Brian,Mike Dudek,2014-10-20,65,
The Pen Addict 126,126,Doing Water Blaugh,,2014-10-27,72,
The Pen Addict 127,127,My Idea Dock is Sideways,,2014-11-03,71,
The Pen Addict 128,128,Backer Number Three,,2014-11-10,61,
The Pen Addict 129,129,The Ugly Sweater Pen,Dan Bishop,2014-11-17,87,
The Pen Addict 130,130,Stop Spending My Money - Holiday Gift Guide 2014,Ana Reinert,2014-11-24,71,
The Pen Addict 131,131,Not The Abbreviated Version,Brian Goulet,2014-12-02,89,
The Pen Addict 132,132,Happy Fun Time,,2014-12-08,64,
The Pen Addict 133,133,A Banana Explosion,,2014-12-15,62,
The Pen Addict 134,134,It's a Gateway Edition,,2014-12-22,61,
The Pen Addict 135,135,Shake it Like a Paint Pen,,2014-12-29,58,
The Pen Addict 136,136,Have You Seen This Pen?,,2015-01-05,63,
The Pen Addict 137,137,Notebook Emergency,,2015-01-12,56,
The Pen Addict 138,138,We All Want a Lightsaber,Anthony Sculimbrene,2015-01-19,68,
The Pen Addict 139,139,This is Gonna Be a Party,,2015-01-26,47,
The Pen Addict 140,140,All Follow Up Extravaganza,,2015-02-02,64,
The Pen Addict 141,141,Shiny Happy People,,2015-02-09,55,
The Pen Addict 142,142,Agents Of Orange,,2015-02-16,59,
The Pen Addict 143,143,Horse Head in Myke's Bed,Dan Bishop,2015-02-23,52,
The Pen Addict 144,144,Found it!,,2015-03-02,65,
The Pen Addict 145,145,Pens Have Feelings,,2015-03-10,57,
The Pen Addict 146,146,No Brand Quality Goods,,2015-03-16,64,
The Pen Addict 147,147,I Can't Get it Out of My Head,,2015-03-25,55,
The Pen Addict 148,148,Like an Internet Radio Show,Ana Reinert,2015-03-30,47,
The Pen Addict 149,149,We Have a Drone,Stephen Hackett,2015-04-06,58,
The Pen Addict 150,150,Live from the Atlanta Pen Show,Ana Reinert,2015-04-18,75,
The Pen Addict 151,151,Wabi-Sabi,,2015-04-23,71,
The Pen Addict 152,152,A Hot Mess of a Pencil,,2015-04-27,60,
The Pen Addict 153,153,Nuclear Fallout Green,,2015-05-04,54,
The Pen Addict 154,154,Extra Extra Extra Extra Extra Fine,,2015-05-11,66,?
The Pen Addict 155,155,Sealed and Labeled for Archiving,,2015-05-21,54,
The Pen Addict 156,156,Point Your Pen At The Yellow Banana,,2015-05-28,52,
The Pen Addict 157,157,1. asktpa,,2015-06-01,53,?
The Pen Addict 158,158,The Topic of Stuff,,2015-06-08,57,
The Pen Addict 159,159,A Woodpecker Ate My Pencil,,2015-06-15,66,?
The Pen Addict 160,160,Let's Keep Being Addicts,,2015-06-22,60,
The Pen Addict 161,161,No Micarta For You,Joe Crace,2015-06-29,65,
The Pen Addict 162,162,Watching Ink Dry,Ed Jelley,2015-07-06,59,
The Pen Addict 163,163,I'm Just Wasting Ink Here,,2015-07-13,63,
The Pen Addict 164,164,Special Place in my Heart,,2015-07-20,65,?
The Pen Addict 165,165,What Kind of Show Are You Running Here?,,2015-07-27,71,
The Pen Addict 166,166,Too Many Brians,Jonathon Deans,2015-08-03,83,
The Pen Addict 167,167,Fishing Vests are Super Important,,2015-08-10,70,
The Pen Addict 168,168,Big Green Hulk Hands,,2015-08-17,72,
The Pen Addict 169,169,Kissy Face Bear,,2015-08-24,57,?
The Pen Addict 170,170,Mykeanical Pencils,,2015-08-31,51,
The Pen Addict 171,171,They Make Me Cross,,2015-09-07,54,
The Pen Addict 172,172,Writing on a Banana Skin,,2015-09-14,52,
The Pen Addict 173,173,Just Colo(u)ring,,2015-09-21,67,
The Pen Addict 174,174,Safety Glasses are Critical,Chris Manning,2015-09-28,45,
The Pen Addict 175,175,Kremlinology,,2015-10-05,61,
The Pen Addict 176,176,Swip and Swap,,2015-10-13,71,
The Pen Addict 177,177,The Pen Type Brad,,2015-10-19,62,
The Pen Addict 178,178,Big Dan Episode,Dan Bishop,2015-10-26,71,
The Pen Addict 179,179,Super Traditional Camo Pattern,,2015-11-03,75,
The Pen Addict 180,180,It Does Notebook Things,Adam Kornfield; Joey Cafone,2015-11-09,61,
The Pen Addict 181,181,Scribble Part XXXVIII,,2015-11-16,67,
The Pen Addict 182,182,Spend Even More Than Usual - Holiday Gift Guide 2015,Ana Reinert,2015-11-23,61,
The Pen Addict 183,183,OMG Star Wars,,2015-11-30,69,
The Pen Addict 184,184,An Assortment of Weird Pencils,,2015-12-07,76,
The Pen Addict 185,185,Don't Make Me Cry Again,,2015-12-14,78,
The Pen Addict 186,186,Happy Penmas Everyone!,,2015-12-23,64,
The Pen Addict 187,187,Members Only Fishing Vests,,2016-01-06,61,
The Pen Addict 188,188,We Just Effin Love Art Supplies,Lee Rubenstein,2016-01-13,56,
The Pen Addict 189,189,OG Colorer,June Thomas,2016-01-20,59,
The Pen Addict 190,190,The Pilly Phen Show,,2016-01-27,78,
The Pen Addict 191,191,Tahitian Black Lip Oyster,Azizah Asgarali,2016-02-05,79,
The Pen Addict 192,192,Chicken Scratch and Batman Doodles,Dan Bishop,2016-02-10,56,
The Pen Addict 193,193,Captain Happy Pants,,2016-02-17,64,
The Pen Addict 194,194,Forged by Pure Evil,,2016-02-24,65,
The Pen Addict 195,195,I'm Flexible,,2016-03-09,68,
The Pen Addict 196,196,You Replace Your Carpet,,2016-03-16,55,
The Pen Addict 197,197,Secret Society of Enablers,Ana Reinert,2016-03-22,88,
The Pen Addict 198,198,Plen Replair Place,,2016-03-30,51,
The Pen Addict 199,199,It's Almost Like You're a Professional,,2016-04-06,74,
The Pen Addict 200,200,"Episode 200, Live from the Atlanta Pen Show 2016",Ana Reinert,2016-04-17,71,?
The Pen Addict 201,201,Sky at Night,,2016-04-20,50,
The Pen Addict 202,202,We Ship On Time,,2016-04-27,52,
The Pen Addict 203,203,1. mykewastechnicallyright,,2016-05-04,51,
The Pen Addict 204,204,Notebooks Filled with Garbage,Tiffany Arment,2016-05-11,76,
The Pen Addict 205,205,Recreational Grade Titanium,,2016-05-18,55,
The Pen Addict 206,206,Put Myself On That Google Map,Tessa Sowry,2016-05-25,53,
The Pen Addict 207,207,The Right Person Was Me,,2016-06-01,73,?
The Pen Addict 208,208,The Queen?s Filofax,Adam Blaine,2016-06-08,51,
The Pen Addict 209,209,There's Not Enough Pink Pens,,2016-06-15,55,
The Pen Addict 210,210,Tiny Tiny Pocket Tornado,,2016-06-22,68,
The Pen Addict 211,211,Running Out Of Coal,Ed Jelley,2016-06-29,71,
The Pen Addict 212,212,Captain Orange Beard,,2016-07-06,47,
The Pen Addict 213,213,The Myke Hurley Signature Pen,,2016-07-13,64,
The Pen Addict 214,214,The Garish Quota,,2016-07-20,69,
The Pen Addict 215,215,Maximum Peak Weirdness,,2016-07-27,67,?
The Pen Addict 216,216,FIVE?!?!,Ana Reinert,2016-08-03,75,
The Pen Addict 217,217,Complete Systems Failure,,2016-08-10,59,
The Pen Addict 218,218,None of My Pens Have Suitable Ink,,2016-08-17,59,?
The Pen Addict 219,219,My Box of Goodies,,2016-08-24,60,?
The Pen Addict 220,220,Not That I'm Rugged,,2016-08-31,57,
The Pen Addict 221,221,Thank You?,,2016-09-07,57,
The Pen Addict 222,222,Keep the Dream Alive,Cary Yeager,2016-09-13,53,
The Pen Addict 223,223,You Need Top-Zip,,2016-09-21,93,
The Pen Addict 224,224,My Ink Smells,,2016-09-28,71,?
The Pen Addict 225,225,Field Notes Kremlinology,,2016-10-05,63,
The Pen Addict 226,226,The Girl with the Glitter Pens,Michelle Leung,2016-10-12,46,
The Pen Addict 227,227,Myke Was Indeed Right,,2016-10-19,66,
The Pen Addict 228,228,Hashtag Snail Mail,,2016-10-26,52,?
The Pen Addict 229,229,The Most Nervous Pen Repair of All Time,Brian Anderson,2016-11-02,61,
The Pen Addict 230,230,The Cover Is Marbled,,2016-11-10,61,
The Pen Addict 231,231,Myke Didn't Make It - Holiday Gift Guide 2016,Ana Reinert,2016-11-16,61,
The Pen Addict 232,232,That's Standard Desk,,2016-11-23,77,
The Pen Addict 233,233,Andrifolio Candrinople,,2016-11-30,73,
The Pen Addict 234,234,Temperamental Little Beast,Mike Matteson,2016-12-07,78,
The Pen Addict 235,235,Baby-Faced Assassin,Mike Dudek,2016-12-14,89,
The Pen Addict 236,236,More Stuff Inside Your Stuff,,2016-12-21,58,
The Pen Addict 237,237,Oh Myke! Noooo!,,2016-12-28,54,?
The Pen Addict 238,238,P Goes to 80%,,2017-01-04,68,
The Pen Addict 239,239,Previously Inksploded,,2017-01-11,68,
The Pen Addict 240,240,A Mythical Colorful Bird,Tiffany Arment,2017-01-18,89,
The Pen Addict 241,241,Art Makes People Mad,,2017-01-25,77,?
The Pen Addict 242,242,The Hype Man,,2017-02-01,81,
The Pen Addict 243,243,I Don't Really Know How I Found You,,2017-02-08,65,
The Pen Addict 244,244,Club Safari,,2017-02-15,74,?
The Pen Addict 245,245,The Entire Thing is Orange,,2017-02-22,64,
The Pen Addict 246,246,Bursting at the Seams,,2017-03-01,76,?
The Pen Addict 247,247,My Optima Is in the Shoptima,,2017-03-08,68,
The Pen Addict 248,248,We're Extraordinarily Particular,Matt Armstrong,2017-03-15,78,
The Pen Addict 249,249,An Astronomical Wallet Event,,2017-03-22,69,?
The Pen Addict 250,250,The Cool Kids Room,Ana Reinert,2017-03-29,84,
The Pen Addict 251,251,That's Not a Colour,,2017-04-05,61,?
The Pen Addict 252,252,We All Know the Pencil Is Superior to the Pen,Caroline Weaver,2017-04-13,87,
The Pen Addict 253,253,Live from the Atlanta Pen Show 2017,Jonathon Brooks; Ana Reinert; Vito Grippi,2017-04-23,60,
The Pen Addict 254,254,"I Nearly Passed out, and You Started Crying",,2017-04-26,59,
The Pen Addict 255,255,Flipped My Toupee,Ryder Carroll,2017-05-03,71,
The Pen Addict 256,256,Excellent Question,Joey Cofone,2017-05-10,75,
The Pen Addict 257,257,I'm Not Gonna Do Homework,,2017-05-17,73,
The Pen Addict 258,258,Kind of Not Interesting,,2017-05-24,57,
The Pen Addict 259,259,Another Thing in a Long Line of Things,,2017-05-31,53,
The Pen Addict 260,260,The Awakening,,2017-06-07,67,
The Pen Addict 261,261,Prolonged Writing Comfort,,2017-06-14,63,
The Pen Addict 262,262,Why Do I Have a Hulk Fist?,,2017-06-21,67,
The Pen Addict 263,263,Optimus Prime in My Pocket,,2017-06-28,70,
The Pen Addict 264,264,Redacted,,2017-07-05,62,
The Pen Addict 265,265,I Know It All And I Can't Tell You,,2017-07-12,56,
The Pen Addict 266,266,"Sometimes Funny, Most of the Time Nonsense",,2017-07-19,57,
The Pen Addict 267,267,Meet Me at the Bar,,2017-07-26,52,
The Pen Addict 268,268,Hot Breaking Footage,,2017-08-04,61,
The Pen Addict 269,269,We Sold Everything,,2017-08-09,49,?
The Pen Addict 270,270,I Am A Lefty Over-Hooker,,2017-08-15,72,
The Pen Addict 271,271,Anti-Myke,,2017-08-23,67,?
The Pen Addict 272,272,Waiting for an Intervention,Joey Feldman,2017-08-30,58,
The Pen Addict 273,273,Myke Hurley Appreciation Day,,2017-09-06,60,?
The Pen Addict 274,274,Treasures of the Earth,,2017-09-14,62,?
The Pen Addict 275,275,Field Notes X,,2017-09-20,60,?
The Pen Addict 276,276,I Bought Seven Nakayas,,2017-09-27,61,?
The Pen Addict 277,277,A Low Chance of Succeeding,,2017-10-04,68,?
The Pen Addict 278,278,"I Failed You, Myke",,2017-10-11,71,?
The Pen Addict 279,279,Live at Field Notes HQ,Jim Coudal,2017-10-18,67,
The Pen Addict 280,280,I Want Jim To Tell Me Bedtime Stories,,2017-10-25,59,?
The Pen Addict 281,281,Supercaligraphicexpialidocious,,2017-11-01,65,?
The Pen Addict 282,282,100% Humidity Paper,,2017-11-08,53,?
The Pen Addict 283,283,A Significant Business in Clever Pen Cases,,2017-11-15,63,?
The Pen Addict 284,284,Weird and Wonderful Stuff - Holiday Gift Guide 2017,Ana Reinert,2017-11-22,60,?
The Pen Addict 285,285,The Love Toaster,,2017-11-29,77,?
The Pen Addict 286,286,A More Aggressive Swirl Pattern,,2017-12-06,78,?
The Pen Addict 287,287,Internal Sparkle,,2017-12-14,54,?
The Pen Addict 288,288,It's Called Chaos,,2017-12-20,82,?
The Pen Addict 289,289,The Cousin is the Big Brother,,2018-01-03,73,?
The Pen Addict 290,290,Saskatchewan Has Always Been In My Heart,,2018-01-10,56,?
The Pen Addict 291,291,At Some Point a Pen Has to Get Involved,,2018-01-17,76,?
The Pen Addict 292,292,Don't Learn Safety By Accident,Ana Reinert,2018-01-24,71,?
The Pen Addict 293,293,Cut With a Hammer and Chisel,,2018-01-31,67,?
The Pen Addict 294,294,Not the Most Funded Anything,,2018-02-07,84,?
The Pen Addict 295,295,Why is it Not Called Pen Pals?,,2018-02-14,76,?
The Pen Addict 296,296,Drop the Pagoda on Us,,2018-02-21,81,?
The Pen Addict 297,297,Who's the Fool Now Steve?,,2018-02-28,75,?
The Pen Addict 298,298,This Pen Show Has Character,,2018-03-07,68,?
The Pen Addict 299,299,Mail Time with Brad,,2018-03-14,85,?
